location,7CD9F4004569,7CD9F4009D60,7CD9F400C540,7CD9F400D5BD,7CD9F401AE04,7CD9F4028BBA,7CD9F402DE77,7CD9F402F48A,7CD9F4038463,7CD9F403A33C,7CD9F403A9A3,7CD9F403C26A,7CD9F40402E4,7CD9F4042BB9,7CD9F4192C39,7CD9F41C2ED9
"116,62",-63.89054726368159,-94.63636363636364,-86.39669421487604,-95,-93.86363636363636,-94.16666666666669,-95,-95,-95,-95,-95,-95,-95,-93.20833333333331,-95,-87.00961538461539
"116,53",-80.03305785123968,-98.11111111111111,-78.70247933884298,-95,-91.5,-96.0,-95,-95,-95,-95,-95,-95,-95,-95.66666666666669,-95,-91.1875
"110,45",-85.53787878787878,-95,-73.78807947019868,-95,-95,-98.0,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95.47058823529412
"104,53",-84.10828025477707,-95,-65.39795918367346,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-97.66666666666669,-95,-95
"93,53",-95.6808510638298,-95,-86.20786516853933,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95,-95
"80,78",-98.0,-95,-95,-91.93430656934306,-77.52694610778443,-95,-85.20535714285714,-87.2043795620438,-95,-95,-98.5,-88.4625850340136,-95,-95,-80.12179487179488,-95
"93,78",-97.46666666666668,-95,-95,-95,-82.56,-95,-96.92592592592592,-97.1,-95,-95,-98.33333333333331,-72.70984455958549,-95,-95,-91.82978723404256,-96.02777777777776
"102,80",-90.67175572519083,-96.0,-95,-97.0,-76.4733727810651,-95,-92.48936170212764,-92.6829268292683,-95,-95,-95,-87.42307692307692,-95,-96.25,-92.46534653465346,-91.23275862068964
"33,83",-92.5,-95,-95,-97.16666666666669,-88.70394736842105,-95,-72.84302325581395,-78.75,-95,-95,-89.6875,-99.0,-95,-95,-83.3125,-97.22222222222224
"152,92",-97.5,-76.98561151079137,-95,-95,-95,-86.45283018867924,-95,-95,-92.66666666666669,-87.81651376146789,-95,-95,-93.765625,-83.49107142857143,-95,-82.33088235294117
"181, 121",-95,-74.05555555555556,-95,-95,-95,-98.28571428571428,-95,-95,-65.73094170403587,-77.03787878787878,-95,-95,-79.08928571428571,-95.8148148148148,-95,-93.56603773584904
"184, 03",-95,-72.36945812807882,-95,-95,-95,-97.6,-95,-95,-77.664,-73.0958904109589,-95,-95,-79.0939226519337,-96.12962962962963,-95,-92.29896907216497
"181, 93",-95,-77.6,-95,-95,-95,-98.33333333333331,-95,-95,-81.55080213903743,-71.80530973451327,-95,-95,-81.91124260355029,-95.92307692307692,-95,-92.93333333333334
"171, 110",-95,-74.07594936708861,-95,-95,-95,-97.5,-95,-95,-79.24705882352941,-72.95238095238095,-95,-95,-80.18461538461538,-94.44444444444444,-95,-92.95918367346938
"168, 118",-95,-72.59354838709677,-95,-95,-95,-96.28571428571428,-95,-95,-77.97142857142858,-73.8,-95,-95,-74.96,-92.88,-95,-94.6842105263158
"153, 121",-95,-76.52258064516128,-95,-95,-95,-97.22222222222224,-95,-95,-77.8804347826087,-77.1271676300578,-95,-95,-61.711009174311926,-90.7125,-95,-92.77272727272728
"165,97",-95,-69.16931216931216,-95,-95,-95,-94.27027027027027,-95,-95,-80.87368421052632,-73.6536312849162,-95,-95,-79.84507042253522,-93.4047619047619,-95,-91.93589743589745
"154, 106",-95,-68.72774869109948,-95,-95,-95,-96.9090909090909,-95,-95,-78.28795811518324,-74.17204301075269,-95,-95,-78.7080745341615,-93.3015873015873,-95,-93.09677419354838
"80,52",-95,-95,-96.95,-95,-97.88888888888889,-95,-95,-95,-95,-95,-96.17857142857144,-97.06060606060606,-95,-95,-96.47619047619048,-95
"76,80",-95,-95,-95,-83.29756097560976,-82.5505617977528,-95,-79.95375722543352,-84.20245398773007,-95,-95,-94.7741935483871,-93.74666666666668,-95,-95,-75.26633165829146,-95
"63,80",-95,-95,-95,-89.57352941176471,-82.83435582822086,-95,-73.65405405405406,-87.60377358490567,-95,-95,-91.3932584269663,-96.475,-95,-95,-60.47142857142857,-95
"63,92",-95,-95,-95,-76.92146596858639,-96.2,-95,-95.04109589041096,-97.5,-95,-95,-95,-95,-95,-95,-85.08333333333333,-95
"60, 100",-95,-95,-95,-69.42660550458716,-97.07317073170732,-95,-92.51851851851852,-98.0,-95,-95,-95,-95,-95,-95,-81.87958115183245,-95
